@relation TestData

@attribute cord0 numeric
@attribute cord1 numeric
@attribute cord2 numeric
@attribute cord3 numeric
@attribute cord4 numeric
@attribute cord5 numeric
@attribute cord6 numeric
@attribute cord7 numeric
@attribute cord8 numeric
@attribute cord9 numeric

@data
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.5,0.4,1.0,1401.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.5,0.5,1.0,1372.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.3,0.3,1.0,3139.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.3,0.4,1.0,3114.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.3,0.5,1.0,3041.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.4,0.3,1.0,2585.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.4,0.4,1.0,2707.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.4,0.5,1.0,2850.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.5,0.3,1.0,1689.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.5,0.4,1.0,1735.0
171.0,17.0,56.48893697,97.0,16.9522611884,32.4269005848,0.5,0.5,1.0,1635.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.3,0.3,1.0,6634.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.3,0.4,1.0,4189.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.3,0.5,1.0,4231.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.4,0.3,1.0,1816.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.4,0.4,1.0,1256.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.4,0.5,1.0,1250.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.5,0.3,1.0,1283.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.5,0.4,1.0,1275.0
3.0,12.0,0.0,2.0,12.1928941054,26.0,0.5,0.5,1.0,1260.0
2.0,11.0,0.0,1.0,5.5,34.5,0.3,0.3,1.0,4533.0
2.0,11.0,0.0,1.0,5.5,34.5,0.3,0.4,1.0,2134.0
2.0,11.0,0.0,1.0,5.5,34.5,0.3,0.5,1.0,1570.0
2.0,11.0,0.0,1.0,5.5,34.5,0.4,0.3,1.0,1595.0
2.0,11.0,0.0,1.0,5.5,34.5,0.4,0.4,1.0,1572.0
2.0,11.0,0.0,1.0,5.5,34.5,0.4,0.5,1.0,1603.0
2.0,11.0,0.0,1.0,5.5,34.5,0.5,0.3,1.0,1733.0
2.0,11.0,0.0,1.0,5.5,34.5,0.5,0.4,1.0,1583.0
2.0,11.0,0.0,1.0,5.5,34.5,0.5,0.5,1.0,1572.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.3,0.3,1.0,1380.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.3,0.4,1.0,1412.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.3,0.5,1.0,1358.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.4,0.3,1.0,1229.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.4,0.4,1.0,1246.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.4,0.5,1.0,1218.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.5,0.3,1.0,1222.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.5,0.4,1.0,1245.0
6.0,14.0,1.73205080757,3.0,13.2591687355,21.1666666667,0.5,0.5,1.0,1261.0
1.0,12.0,0.0,1.0,0.0,32.0,0.3,0.3,1.0,2939.0
1.0,12.0,0.0,1.0,0.0,32.0,0.3,0.4,1.0,2971.0
1.0,12.0,0.0,1.0,0.0,32.0,0.3,0.5,1.0,2921.0
1.0,12.0,0.0,1.0,0.0,32.0,0.4,0.3,1.0,3044.0
1.0,12.0,0.0,1.0,0.0,32.0,0.4,0.4,1.0,3300.0
1.0,12.0,0.0,1.0,0.0,32.0,0.4,0.5,1.0,2929.0
1.0,12.0,0.0,1.0,0.0,32.0,0.5,0.3,1.0,2959.0
1.0,12.0,0.0,1.0,0.0,32.0,0.5,0.4,1.0,2891.0
1.0,12.0,0.0,1.0,0.0,32.0,0.5,0.5,1.0,3611.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.3,0.3,1.0,1712.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.3,0.4,1.0,1712.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.3,0.5,1.0,1685.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.4,0.3,1.0,1729.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.4,0.4,1.0,1713.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.4,0.5,1.0,1809.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.5,0.3,1.0,1717.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.5,0.4,1.0,1756.0
4.0,16.0,1.0,2.0,11.2249721603,25.0,0.5,0.5,1.0,1786.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.3,0.3,1.0,1475.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.3,0.4,1.0,1681.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.3,0.5,1.0,1434.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.4,0.3,1.0,1281.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.4,0.4,1.0,1289.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.4,0.5,1.0,1289.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.5,0.3,1.0,1237.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.5,0.4,1.0,1229.0
20.0,14.0,5.56776436283,11.0,13.3244136832,22.4,0.5,0.5,1.0,1235.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.3,0.3,1.0,1431.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.3,0.4,1.0,2046.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.3,0.5,1.0,1376.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.4,0.3,1.0,1308.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.4,0.4,1.0,1393.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.4,0.5,1.0,1347.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.5,0.3,1.0,1314.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.5,0.4,1.0,1284.0
30.0,15.0,10.9087121146,15.0,15.9616206362,27.4,0.5,0.5,1.0,1290.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.3,0.3,1.0,2704.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.3,0.4,1.0,2473.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.3,0.5,1.0,2383.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.4,0.3,1.0,1681.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.4,0.4,1.0,1551.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.4,0.5,1.0,1635.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.5,0.3,1.0,1507.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.5,0.4,1.0,1513.0
86.0,17.0,28.5657137142,47.0,18.6564721608,32.5,0.5,0.5,1.0,1459.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.3,1.0,1420.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.4,1.0,1461.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.5,1.0,1456.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.3,1.0,1432.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.4,1.0,1438.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.5,1.0,1405.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.3,1.0,1417.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.4,1.0,2081.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.5,1.0,1407.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.3,0.3,1.0,1232.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.3,0.4,1.0,1881.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.3,0.5,1.0,1257.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.4,0.3,1.0,1261.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.4,0.4,1.0,1262.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.4,0.5,1.0,1265.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.5,0.3,1.0,1263.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.5,0.4,1.0,1238.0
4.0,13.0,1.0,2.0,13.1244047484,21.5,0.5,0.5,1.0,1300.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.3,0.3,1.0,3260.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.3,0.4,1.0,2642.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.3,0.5,1.0,2529.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.4,0.3,1.0,1683.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.4,0.4,1.0,1634.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.4,0.5,1.0,1597.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.5,0.3,1.0,1398.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.5,0.4,1.0,1402.0
42.0,20.0,12.7671453348,22.0,16.7288635383,30.9523809524,0.5,0.5,1.0,1401.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.3,0.3,1.0,1454.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.3,0.4,1.0,1442.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.3,0.5,1.0,1391.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.4,0.3,1.0,1434.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.4,0.4,1.0,1333.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.4,0.5,1.0,1346.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.5,0.3,1.0,1311.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.5,0.4,1.0,1286.0
42.0,17.0,15.9687194227,19.0,17.9005187475,30.0,0.5,0.5,1.0,1293.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.3,0.3,1.0,1483.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.3,0.4,1.0,1441.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.3,0.5,1.0,1472.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.4,0.3,1.0,1400.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.4,0.4,1.0,1469.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.4,0.5,1.0,1396.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.5,0.3,1.0,1340.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.5,0.4,1.0,1394.0
61.0,17.0,23.5372045919,28.0,19.3394131182,31.2295081967,0.5,0.5,1.0,1370.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.3,0.3,1.0,7267.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.3,0.4,1.0,7310.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.3,0.5,1.0,7448.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.4,0.3,1.0,4098.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.4,0.4,1.0,4845.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.4,0.5,1.0,4322.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.5,0.3,1.0,2755.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.5,0.4,1.0,2742.0
678.0,21.0,213.236957397,346.0,16.3081478033,30.8510324484,0.5,0.5,1.0,2747.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.3,0.3,1.0,1796.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.3,0.4,1.0,1767.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.3,0.5,1.0,1667.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.4,0.3,1.0,1378.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.4,0.4,1.0,1336.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.4,0.5,1.0,1326.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.5,0.3,1.0,1284.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.5,0.4,1.0,1323.0
42.0,16.0,13.5646599663,23.0,18.046755225,29.9285714286,0.5,0.5,1.0,1319.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.3,0.3,1.0,1605.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.3,0.4,1.0,1626.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.3,0.5,1.0,1564.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.4,0.3,1.0,1640.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.4,0.4,1.0,1636.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.4,0.5,1.0,1539.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.5,0.3,1.0,1451.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.5,0.4,1.0,1442.0
121.0,18.0,49.0815647672,55.0,17.0403603708,32.1983471074,0.5,0.5,1.0,1908.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.3,0.3,1.0,1241.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.3,0.4,1.0,1265.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.3,0.5,1.0,1272.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.4,0.3,1.0,1307.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.4,0.4,1.0,1277.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.4,0.5,1.0,1277.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.5,0.3,1.0,1259.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.5,0.4,1.0,1293.0
4.0,11.0,1.0,2.0,14.6372811683,20.5,0.5,0.5,1.0,1266.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.3,0.3,1.0,2100.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.3,0.4,1.0,2037.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.3,0.5,1.0,2112.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.4,0.3,1.0,1452.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.4,0.4,1.0,1457.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.4,0.5,1.0,1441.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.5,0.3,1.0,1343.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.5,0.4,1.0,1325.0
61.0,16.0,19.2353840617,35.0,19.528368136,31.7704918033,0.5,0.5,1.0,1367.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.3,0.3,1.0,2065.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.3,0.4,1.0,2356.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.3,0.5,1.0,1982.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.4,0.3,1.0,1877.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.4,0.4,1.0,2034.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.4,0.5,1.0,1872.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.5,0.3,1.0,1822.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.5,0.4,1.0,1812.0
339.0,18.0,136.488094719,152.0,16.1230794182,30.9292035398,0.5,0.5,1.0,2050.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.3,0.3,1.0,5353.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.3,0.4,1.0,4768.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.3,0.5,1.0,4703.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.4,0.3,1.0,2604.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.4,0.4,1.0,2618.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.4,0.5,1.0,2673.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.5,0.3,1.0,1850.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.5,0.4,1.0,1801.0
172.0,20.0,51.6139516023,94.0,16.9161869926,32.3488372093,0.5,0.5,1.0,1789.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.3,0.3,1.0,3945.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.3,0.4,1.0,3862.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.3,0.5,1.0,3802.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.4,0.3,1.0,2994.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.4,0.4,1.0,3020.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.4,0.5,1.0,3047.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.5,0.3,1.0,1965.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.5,0.4,1.0,1882.0
338.0,17.0,110.905365064,191.0,16.1823850575,31.4585798817,0.5,0.5,1.0,1896.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.3,0.3,1.0,7521.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.3,0.4,1.0,2881.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.3,0.5,1.0,4375.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.4,0.3,1.0,2347.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.4,0.4,1.0,2337.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.4,0.5,1.0,2398.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.5,0.3,1.0,2221.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.5,0.4,1.0,2254.0
675.0,19.0,274.395699675,287.0,15.9135938473,30.7555555556,0.5,0.5,1.0,2159.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.3,0.3,1.0,2942.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.3,0.4,1.0,2941.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.3,0.5,1.0,2697.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.4,0.3,1.0,2512.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.4,0.4,1.0,2655.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.4,0.5,1.0,2636.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.5,0.3,1.0,2483.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.5,0.4,1.0,2545.0
960.0,20.0,389.6049281,387.0,15.9821861282,30.53125,0.5,0.5,1.0,2913.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.3,0.3,1.0,9248.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.3,0.4,1.0,9466.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.3,0.5,1.0,9336.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.4,0.3,1.0,4581.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.4,0.4,1.0,4451.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.4,0.5,1.0,4358.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.5,0.3,1.0,3050.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.5,0.4,1.0,3264.0
965.0,21.0,304.228532521,489.0,16.3584321776,30.6062176166,0.5,0.5,1.0,2972.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.3,1.0,1409.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.4,1.0,1457.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.5,1.0,1510.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.3,1.0,1418.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.4,1.0,1449.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.5,1.0,1456.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.3,1.0,1467.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.4,1.0,1428.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.5,1.0,1409.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.3,1.0,1547.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.4,1.0,1459.0
1.0,10.0,0.0,1.0,0.0,29.0,0.3,0.5,1.0,1424.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.3,1.0,1414.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.4,1.0,1480.0
1.0,10.0,0.0,1.0,0.0,29.0,0.4,0.5,1.0,1465.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.3,1.0,1492.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.4,1.0,1436.0
1.0,10.0,0.0,1.0,0.0,29.0,0.5,0.5,1.0,1681.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.3,0.3,1.0,1883.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.3,0.4,1.0,1763.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.3,0.5,1.0,1742.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.4,0.3,1.0,1954.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.4,0.4,1.0,1708.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.4,0.5,1.0,1714.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.5,0.3,1.0,1856.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.5,0.4,1.0,1606.0
242.0,18.0,97.3704267219,109.0,16.5699119935,31.5454545455,0.5,0.5,1.0,1603.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.3,0.3,1.0,1355.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.3,0.4,1.0,1377.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.3,0.5,1.0,1355.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.4,0.3,1.0,1263.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.4,0.4,1.0,1289.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.4,0.5,1.0,1294.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.5,0.3,1.0,1759.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.5,0.4,1.0,1227.0
14.0,18.0,4.12310562562,7.0,10.944199843,22.7142857143,0.5,0.5,1.0,1233.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.3,0.3,1.0,1349.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.3,0.4,1.0,1335.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.3,0.5,1.0,1341.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.4,0.3,1.0,1259.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.4,0.4,1.0,1276.0
6.0,11.0,1.73205080757,3.0,13.2916013583,21.0,0.4,0.5,1.0,1302.0
