@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute mediana_pca numeric
@attribute max_pca numeric
@attribute var_pca numeric
@attribute avg_pca numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.1,2,40313
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.1,4,41553
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.4,1,54420
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.4,2,37791
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.4,4,38960
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.7,1,55469
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.7,2,37177
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.7,4,36598
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.1,1,7291
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.1,2,5566
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.1,4,5987
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.4,1,7274
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.4,2,5667
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.4,4,5865
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.7,1,7156
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.7,2,5590
1572,20,451.75,574.0,9.22,14.63,26.5,1.0,20.41,15.72,0.1,0.7,4,6010
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.1,1,81658
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.1,2,26678
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.1,4,24820
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.4,1,29777
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.4,2,21812
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.4,4,21389
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.7,1,29180
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.7,2,20608
1795,21,651.49,788.0,16.15,30.46,30.0,1.0,22.86,17.95,0.1,0.7,4,18466
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.1,1,1771
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.1,2,1786
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.1,4,1810
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.4,1,1780
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.4,2,1746
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.4,4,1756
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.7,1,1879
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.7,2,1733
1538,13,516.82,706.0,9.11,14.44,20.0,1.0,27.59,15.38,0.1,0.7,4,1759
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.1,1,135000
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.1,2,86362
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.1,4,89290
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.4,1,133951
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.4,2,123026
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.4,4,110929
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.7,1,124628
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.7,2,82830
2998,27,1205.1,1246.0,23.03,47.56,35.5,1.0,74.55,29.98,0.1,0.7,4,81718
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.1,1,82030
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.1,2,55945
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.1,4,57655
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.4,1,74088
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.4,2,50859
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.4,4,53324
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.7,1,70910
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.7,2,57829
983,21,315.61,498.0,16.25,30.76,15.0,1.0,13.56,9.83,0.1,0.7,4,55731
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.1,1,96119
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.1,2,52161
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.1,4,52640
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.4,1,64036
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.4,2,44953
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.4,4,48580
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.7,1,57915
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.7,2,39776
488,20,144.63,264.0,16.3,31.28,8.0,1.0,6.74,4.88,0.1,0.7,4,41935
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.1,1,65303
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.1,2,53873
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.1,4,55422
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.4,1,59271
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.4,2,44217
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.4,4,45288
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.7,1,55769
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.7,2,40800
728,21,234.56,367.0,16.34,30.51,13.0,1.0,9.71,7.28,0.1,0.7,4,41157
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.1,1,4954
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.1,2,4145
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.1,4,4433
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.4,1,4828
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.4,2,4041
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.4,4,4696
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.7,1,7389
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.7,2,4135
863,19,244.64,342.0,9.36,15.05,14.0,1.0,11.05,8.63,0.1,0.7,4,4742
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.1,1,9319
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.1,2,6631
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.1,4,6648
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.4,1,7477
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.4,2,6169
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.4,4,7062
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.7,1,7584
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.7,2,5869
2961,22,1204.18,1090.0,15.86,30.65,32.0,1.0,99.64,29.61,0.1,0.7,4,5955
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.1,1,16137
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.1,2,12982
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.1,4,14202
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.4,1,14102
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.4,2,11813
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.4,4,13450
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.7,1,11911
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.7,2,9535
499,17,171.46,284.0,16.03,31.57,8.0,1.0,8.45,4.99,0.1,0.7,4,10140
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.1,1,23835
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.1,2,19095
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.1,4,19310
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.4,1,21819
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.4,2,16477
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.4,4,17525
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.7,1,19957
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.7,2,14428
1000,21,377.21,453.0,16.27,30.98,13.0,1.0,14.22,10.0,0.1,0.7,4,14995
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.1,1,8604
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.1,2,6414
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.1,4,6703
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.4,1,8742
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.4,2,6705
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.4,4,6820
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.7,1,8879
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.7,2,6422
2323,20,682.38,848.0,9.14,14.85,36.5,1.0,32.36,23.23,0.1,0.7,4,6622
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.1,1,2254
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.1,2,2217
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.1,4,2432
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.4,1,2239
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.4,2,2119
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.4,4,2321
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.7,1,2119
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.7,2,2054
482,20,138.3,161.0,8.52,13.16,9.0,1.0,7.02,4.82,0.1,0.7,4,2056
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.1,1,2704
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.1,2,2987
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.1,4,2668
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.4,1,2674
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.4,2,2444
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.4,4,2471
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.7,1,2591
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.7,2,2528
495,17,202.5,243.0,16.0,31.83,7.5,1.0,13.59,4.95,0.1,0.7,4,2532
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.1,1,256316
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.1,2,179478
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.1,4,174489
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.4,1,245441
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.4,2,151804
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.4,4,159267
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.7,1,235224
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.7,2,147055
2966,22,973.43,1479.0,15.98,30.96,52.0,1.0,45.05,29.66,0.1,0.7,4,152693
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.1,1,164770
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.1,2,115310
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.1,4,117243
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.4,1,152171
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.4,2,99553
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.4,4,109162
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.7,1,146284
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.7,2,100932
1934,21,610.67,993.0,16.29,30.94,33.5,1.0,27.85,19.34,0.1,0.7,4,106419
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.1,1,1462
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.1,2,1458
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.1,4,1447
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.4,1,1757
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.4,2,1341
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.4,4,1371
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.7,1,1322
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.7,2,1492
513,12,165.19,246.0,8.73,13.73,7.0,1.0,8.55,5.13,0.1,0.7,4,1358
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.1,1,2317
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.1,2,2760
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.1,4,2898
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.4,1,2266
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.4,2,5114
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.4,4,3915
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.7,1,3735
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.7,2,13166
319,20,91.97,113.0,9.09,14.5,5.0,1.0,4.27,3.19,0.1,0.7,4,3728
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.1,1,3316
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.1,2,3971
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.1,4,2957
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.4,1,3007
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.4,2,2833
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.4,4,2972
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.7,1,3142
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.7,2,2783
697,19,280.44,298.0,16.1,30.44,12.0,1.0,18.87,6.97,0.1,0.7,4,2851
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.1,1,10843
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.1,2,7997
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.1,4,9231
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.4,1,11138
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.4,2,7712
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.4,4,8315
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.7,1,10673
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.7,2,8150
1962,27,793.01,660.0,22.61,46.48,17.0,1.0,79.66,19.62,0.1,0.7,4,8973
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.1,1,44568
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.1,2,31043
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.1,4,32415
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.4,1,42462
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.4,2,31473
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.4,4,32686
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.7,1,47644
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.7,2,81077
749,26,299.51,317.0,22.79,47.29,11.5,1.0,14.49,7.49,0.1,0.7,4,42506
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.1,1,83974
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.1,2,57799
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.1,4,58814
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.4,1,86138
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.4,2,55166
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.4,4,57294
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.7,1,77896
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.7,2,52094
1967,26,771.28,817.0,22.88,46.49,25.0,2.0,34.98,19.67,0.1,0.7,4,52117
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.1,1,54870
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.1,2,45432
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.1,4,50125
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.4,1,54480
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.4,2,40709
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.4,4,38726
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.7,1,47342
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.7,2,47404
997,25,394.23,443.0,22.44,46.79,14.0,1.0,19.24,9.97,0.1,0.7,4,54164
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.1,1,2639
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.1,2,2577
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.1,4,2508
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.4,1,2872
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.4,2,2492
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.4,4,2485
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.7,1,2602
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.7,2,2759
763,15,220.64,339.0,9.17,14.63,12.0,1.0,10.49,7.63,0.1,0.7,4,2533
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.1,1,2035
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.1,2,1983
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.1,4,2044
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.4,1,1981
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.4,2,2601
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.4,4,2067
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.7,1,1958
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.7,2,1833
400,15,116.53,174.0,9.26,14.39,6.0,1.0,5.59,4.0,0.1,0.7,4,1877
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.1,1,2310
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.1,2,2239
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.1,4,2272
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.4,1,2324
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.4,2,2301
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.4,4,2388
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.7,1,2467
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.7,2,2160
600,15,176.84,262.0,9.22,14.36,10.0,1.0,8.04,6.0,0.1,0.7,4,2352
2972,27,1208.88,1006.0,22.87,46.73,32.5,1.0,101.73,29.72,0.1,0.1,1,16849
2972,27,1208.88,1006.0,22.87,46.73,32.5,1.0,101.73,29.72,0.1,0.1,2,12762
2972,27,1208.88,1006.0,22.87,46.73,32.5,1.0,101.73,29.72,0.1,0.1,4,11622
2972,27,1208.88,1006.0,22.87,46.73,32.5,1.0,101.73,29.72,0.1,0.4,1,16083
